title,description,date
BROWNS DRAFT DAWAND JONES,Dawand Jones is the second Ohio State offensive tackle selected in the 2023 NFL draft as the Cleveland Browns select him with the No. 111 overall pick in the fourth round.,"29 Apr 2023
by Garrick Hodge
61 COMMENTS"
"JONES, WYPLER STILL SEEKING OPPORTUNITY",Dawand Jones and Luke Wypler both fall to the final day of the NFL draft as several Buckeyes are still seeking opportunities at the next level Saturday.,"29 Apr 2023
by Griffin Strom
75 COMMENTS"
FALCONS DRAFT ZACH HARRISON,The Atlanta Falcons select Ohio State defensive end Zach Harrison with the No. 75 overall pick in the 2023 NFL draft.,"28 Apr 2023
by Chase Brown
20 COMMENTS"
BUCKEYE BROTHERHOOD ON DISPLAY AT DRAFT,"C.J. Stroud, Paris Johnson Jr. and Jaxon Smith-Njigba showed their love for one another and Ohio State as their first-round NFL draft dreams came true Thursday night.","28 Apr 2023
by Dan Hope
19 COMMENTS"
PARIS WANTS TO FINISH WHAT FATHER STARTED,"Twenty-four years after his father was drafted by the same organization, Paris Johnson Jr. wants to ""finish what my dad couldn't"" with the Arizona Cardinals.","28 Apr 2023
by Griffin Strom
17 COMMENTS"
SEAHAWKS DRAFT JSN 20TH OVERALL,Jaxon Smith-Njigba becomes Ohio State’s third first-round receiver in a two-year span as the Seahawks select Smith-Njigba with the No. 20 overall pick in the 2023 NFL draft.,"27 Apr 2023
by Dan Hope
53 COMMENTS"
TWO TOP-SIX PICKS FOR FOURTH TIME EVER,C.J. Stroud and Paris Johnson Jr. give Ohio State two of the top six picks in the NFL draft for the fourth time in program history.,"27 Apr 2023
by Griffin Strom
12 COMMENTS"
2023 NFL DRAFT,"Buckeye Nation sounds off on social media as C.J. Stroud, Paris Johnson Jr. and Jaxon Smith-Njigba are selected in the first round of the NFL draft.","27 Apr 2023
by Griffin Strom
15 COMMENTS"
CARDINALS DRAFT PARIS AT NO. 6,Paris Johnson Jr. is officially off the board in the 2023 NFL draft as the highest-drafted Ohio State tackle since Orlando Pace.,"27 Apr 2023
by Griffin Strom
28 COMMENTS"
STROUD DRAFTED 2ND BY TEXANS,"The Houston Texans select C.J. Stroud with the No. 2 overall pick in the 2023 NFL draft, becoming Ohio State’s highest-drafted quarterback ever.","27 Apr 2023
by Dan Hope
70 COMMENTS"
DAY DEFENDS STROUD AMID S2 CONTROVERSY,"Ryan Day says only 15 NFL teams use the S2 test, which measures “your eye reaction and reaction to buttons,” and says “some of those test scores weren't accurate.”","27 Apr 2023
by Griffin Strom
27 COMMENTS"
MALIK HARTFORD,"Malik Hartford has the experience, ball-hawking ability, instincts and range to excel in Jim Knowles' three-safety defense at Ohio State.","27 Apr 2023
by Josh Poloha
7 COMMENTS"
FOUR NFL DRAFT BOLD PREDICTIONS,Paris Johnson Jr. getting selected ahead of C.J. Stroud is one of four bold predictions from Eleven Warriors’ Garrick Hodge ahead of the 2023 NFL draft.,"27 Apr 2023
by Garrick Hodge
42 COMMENTS"
2023 NFL DRAFT PREVIEW,"C.J. Stroud, Paris Johnson Jr. and Jaxon Smith-Njigba headline a draft full of intrigue for Ohio State as the Buckeyes look to have three top-15 picks for the fourth time ever.","27 Apr 2023
by Dan Hope
14 COMMENTS"
HAMILTON AGREES TO EXTENSION WITH JAGS,"Former Ohio State defensive tackle DaVon Hamilton has reportedly signed a three-year, $34.5 million contract extension with the Jacksonville Jaguars.","26 Apr 2023
by Chase Brown
10 COMMENTS"
“I KNOW WHAT I CAN DO ON THE FIELD”,C.J. Stroud says his reported S2 Cognition score doesn’t reflect his football aptitude because “I know I can process very well“ and “you can’t play at Ohio State and not...,"26 Apr 2023
by Dan Hope
40 COMMENTS"
JSN ENJOYING “ONCE-IN-A-LIFETIME” MOMENT,"Jaxon Smith-Njigba is ""trying to take advantage of it all"" on the eve of NFL draft night and thinks three Buckeye wide receivers could be standing in his shoes at this time next...","26 Apr 2023
by Griffin Strom
17 COMMENTS"
JOHNSON ABOUT TO FULFILL CHILDHOOD VISION,Paris Johnson Jr. has envisioned being a first-round NFL draft pick since he was 5 years old. He’s “super grateful” as that dream is about to come true Thursday night.,"26 Apr 2023
by Dan Hope
3 COMMENTS"
MAGNIFICENT 7,"Ohio State's most promising professional quarterback has no division titles, national titles, Heisman trophies or rivalry wins to his credit.","26 Apr 2023
by Ramzy Nasrallah
55 COMMENTS"
CHRISTMAN ENTERS TRANSFER PORTAL,Four-star recruit and Akron native Ben Christman enters the transfer portal after two seasons on the Ohio State offensive line.,"26 Apr 2023
by Griffin Strom
55 COMMENTS"
COMMANDERS DECLINE YOUNG'S 5TH-YEAR OPTION,The Washington Commanders have reportedly declined former Ohio State defensive end Chase Young's fifth-year option.,"26 Apr 2023
by Chase Brown
42 COMMENTS"
2023 NFL DRAFT PREVIEW,We discuss why C.J. Stroud’s Ohio State career should dispel any narratives about his processing ability and project where every Buckeye will end up in the NFL draft.,"26 Apr 2023
by Dan Hope and Griffin Strom"
3 OL DRAFTEES A RARE FEAT FOR OSU,"All potential early-round NFL draft picks, Paris Johnson Jr., Dawand Jones and Luke Wypler are on the cusp of becoming the first trio of Ohio State OL draftees since 2004.","26 Apr 2023
by Griffin Strom
13 COMMENTS"
2023 NFL MOCK DRAFT,We make projections for all 31 first-round picks and where all of Ohio State’s top prospects will end up in the 2023 NFL draft.,"25 Apr 2023
by Dan Hope
33 COMMENTS"
BURTON ENTERS PORTAL,Ohio State redshirt freshman wide receiver Caleb Burton has entered the transfer portal after just one season as a Buckeye in which he did not play any snaps.,"25 Apr 2023
by Dan Hope
73 COMMENTS"
"""I THINK HE’LL BE A GREAT PROFESSIONAL""","Tanner McCalister may not be a guaranteed draft pick, but the athleticism he showed at pro day and his high football IQ give him a chance to be ""a great professional.""","25 Apr 2023
by Griffin Strom
22 COMMENTS"
HARRISON EAGER TO PROVE BELIEVERS RIGHT,"Zach Harrison is eager to ""prove people who believed in me right"" at the next level and thinks his best football is yet to come in the NFL.","24 Apr 2023
by Griffin Strom
46 COMMENTS"
BUCKEYES SET TO EXTEND 1ST-ROUND PICK LEAD,Ohio State is in line to become the first school ever with 90 first-round NFL draft picks in what should be another prolific draft for the Buckeyes this week.,"24 Apr 2023
by Dan Hope
16 COMMENTS"
SECOND-YEAR DEFENDERS SHOW THEIR POTENTIAL,"Ohio State’s second-year defenders stood out in the spring game, showing why its recruiting class of 2022 was full of highly touted prospects on that side of the ball.","23 Apr 2023
by Dan Hope
24 COMMENTS"
THE TOP BUCKEYES AT EVERY FIRST-ROUND PICK,We highlight Ohio State’s best first-round NFL draft picks from the No. 1 overall pick to No. 32.,"22 Apr 2023
by Matt Gutridge
49 COMMENTS"
PARIS PREPARING TO FULFILL “FIRST DREAM”,"Paris Johnson Jr. has dreamt of being selected in the NFL draft ""since I was 5 years old,"" and the Buckeye OL is only five days away from realizing his dream.","22 Apr 2023
by Griffin Strom
5 COMMENTS"
SAMUEL WEARING NO. 4 AGAIN,"Curtis Samuel will return to wearing No. 4, the number he wore at Ohio State, for the Washington Commanders this season.","21 Apr 2023
by Dan Hope
3 COMMENTS"
MOCK DRAFT PROJECTIONS WITH ONE WEEK TO GO,The Houston Texans are a projected landing spot for both C.J. Stroud and Jaxon Smith-Njigba while Paris Johnson Jr. is a popular pick for the Chicago Bears.,"21 Apr 2023
by Dan Hope
37 COMMENTS"
ANALYSTS FEUD OVER C.J. STROUD,"Fox Sports college football analyst Brady Quinn shared concerns NFL teams have about C.J. Stroud, which led to a media squabble with ESPN NFL analyst Ryan Clark.","20 Apr 2023
by Chase Brown
103 COMMENTS"
JOSHUA MICKENS,Joshua Mickens has the skill set to be an impactful edge rusher for Ohio State but will need to add more weight to his 6-foot-5 frame first.,"20 Apr 2023
by Josh Poloha
9 COMMENTS"
MCCORD-HARRISON CONNECTION STILL STRONG,High school teammates Kyle McCord and Marvin Harrison Jr. proved their “chemistry is definitely still there” during Ohio State's spring game.,"20 Apr 2023
by Griffin Strom
42 COMMENTS"
POST-SPRING DEPTH CHART PROJECTION,We take a look at how Ohio State’s three-deep depth chart could stack up at every position in 2023 based on what we saw and heard during spring practices.,"19 Apr 2023
by Dan Hope
107 COMMENTS"
MEN OVERBOARD,Ohio State currently has 88 scholarship football players. That puts the Buckeyes three over the cap with four months to go.,"19 Apr 2023
by Ramzy Nasrallah
61 COMMENTS"
SPRING GAME RECAP & LINEUP PROJECTION,"We break down Kyle McCord’s spring game performance, discuss what impressed and concerned us most this spring and make our post-spring starting lineup projection.","19 Apr 2023
by Dan Hope and Griffin Strom"
"URBAN TALKS HOW HE'D HANDLE NIL, PORTAL","Urban Meyer is ""so proud"" of Ohio State's recruiting efforts under Ryan Day and calls NIL ""fantastic,"" but disapproves of inducements for recruits across college football.","19 Apr 2023
by Griffin Strom
40 COMMENTS"
SPRING GAME SNAP COUNTS,"C.J. Hicks, Sonny Styles and Jyaire Brown played the most on defense while Kyle McCord, Carnell Tate and Tegra Tshabola played most on offense in Saturday’s spring game.","18 Apr 2023
by Dan Hope and Matt Gutridge
30 COMMENTS"
“REASON FOR OPTIMISM” IN THE SECONDARY,"After Saturday’s spring game, Ryan Day's seen a large enough sample size to believe significant improvement is possible for the Buckeye secondary this offseason.","18 Apr 2023
by Griffin Strom
32 COMMENTS"
BROWNS COULD PLAY IN THE SHOE,"With the Cleveland Browns set to renovate their stadium in the near future, Ohio Stadium could host the NFL team for multiple seasons as the franchise alters its venue.","17 Apr 2023
by Chase Brown
99 COMMENTS"
"YOUNG, NOT STROUD, EXPECTED TO GO NO. 1",C.J. Stroud no longer appears likely to be the No. 1 overall pick as Bryce Young is now the heavy betting favorite to be selected first by the Carolina Panthers.,"17 Apr 2023
by Dan Hope
146 COMMENTS"
JAKE SEIBERT ENTERS TRANSFER PORTAL,Buckeye kicker Jake Seibert enters the transfer portal after three seasons at Ohio State.,"17 Apr 2023
by Griffin Strom
38 COMMENTS"
HARTLINE “DOING WELL” AFTER UTV CRASH,Ohio State offensive coordinator Brian Hartline was released from the hospital Monday afternoon after he was hospitalized Sunday morning following a UTV crash on his property.,"17 Apr 2023
by Dan Hope
283 COMMENTS"
"HERO, CHIP, BURKE, OL","Hero Kanu, Denzel Burke and Chip Trayanum all boosted their stock in the spring game while uncertainty remains at quarterback and on the offensive line.","17 Apr 2023
by Griffin Strom
67 COMMENTS"
BREAKING DOWN MCCORD’S PASSING CHART,We rewatched all 34 of Kyle McCord’s spring game throws for a full breakdown of how he performed in his public audition for Ohio State’s starting quarterback job.,"17 Apr 2023
by Dan Hope
63 COMMENTS"
SPRING GAME,"Five Things tries not to overreact after the defense beat the offense, 40-31, in yesterday's Spring Game in Ohio Stadium.","16 Apr 2023
by Chris Lauderback
70 COMMENTS"
PHOTOS FROM OSU'S SPRING GAME,Ohio State's defense provided plenty of highlights during the Buckeyes' spring game Saturday and we've got more than 120 photos of the action.,"15 Apr 2023
by Garrick Hodge
2 COMMENTS"
QB BATTLE UNRESOLVED AFTER SPRING GAME,"Ohio State's QB competition remains unresolved after the spring game, and both Kyle McCord and Devin Brown intend to stay in the program as the battle wages on this summer.","15 Apr 2023
by Griffin Strom
58 COMMENTS"
DEFENSE FINISHES SPRING STRONG,"Ohio State’s defense built momentum all spring and finished strong in the spring game, giving Ryan Day “reason for optimism for sure” about the defense’s improvement.","15 Apr 2023
by Dan Hope
9 COMMENTS"
"DAY, MCCORD, BROWN REVIEW SPRING GAME","Ryan Day saw ""sparks"" of success from Kyle McCord in the spring game, says offensive line play was ""inconsistent"" and continues to be impressed by the secondary and DL.","15 Apr 2023
by Griffin Strom
50 COMMENTS"
"DEFENSE WINS SPRING GAME, 40-31","Ohio State’s defense won the day in the Buckeyes’ spring game, defeating the offense 40-31 as Chip Trayanum, Archie Griffin, Carnell Tate and Noah Rogers scored touchdowns.","15 Apr 2023
by Dan Hope
128 COMMENTS"
ARCHIE GRIFFIN RUNS FOR TD IN SPRING GAME,Two-time Heisman Trophy winner Archie Griffin ran for a touchdown and showed off his Heisman pose during Ohio State's spring game on Saturday.,"15 Apr 2023
by Josh Poloha
23 COMMENTS"
SPRING GAME,"We share our final thoughts, questions and players to watch going into Ohio State’s intrasquad scrimmage to conclude the spring.","15 Apr 2023
by 11W Staff
16 COMMENTS"
OHIO STATE SPRING GAME CENTRAL,"Your one-stop shop for Ohio State spring game coverage, including the scrimmage scoring format, storylines, and sights and sounds from the Shoe.","15 Apr 2023
by Chase Brown
20 COMMENTS"
SPRING GAME TRAILER,Get hyped for the return of football at Ohio Stadium on Saturday by watching Ohio State’s official spring game trailer.,"14 Apr 2023
by 11W Staff
5 COMMENTS"
MEYER HAS “NO DOUBT” DAY IS RIGHT FOR OSU,Urban Meyer says Ohio State needs to control the line of scrimmage to get back to beating Michigan but has full confidence Ryan Day can get the job done in The Game.,"14 Apr 2023
by Dan Hope
59 COMMENTS"
4 OSU HEAD COACHES REFLECT ON CAREERS,"Ryan Day, Urban Meyer, Jim Tressel and John Cooper opened up on their fondest OSU memories, the most talented players they’ve coached and more at OSU's coaches clinic.","14 Apr 2023
by Griffin Strom
85 COMMENTS"
WHAT TO WATCH FOR,"Kyle McCord, the offensive line, the defense and backups at several positions will all be in the spotlight as Ohio State concludes spring football at Ohio Stadium on Saturday.","14 Apr 2023
by Dan Hope
8 COMMENTS"
"STROUD, JSN AND PARIS ATTENDING NFL DRAFT","C.J. Stroud, Jaxon Smith-Njigba and Paris Johnson Jr. will all be among the prospects in Kansas City to take the stage when their names are called at the 2023 NFL draft.","13 Apr 2023
by Dan Hope
23 COMMENTS"
OSU WILL HAVE 50-50 RAFFLE AT SPRING GAME,Ohio State and NIL collective Cohesion Foundation will hold a 50-50 raffle during the football program's spring game at Ohio Stadium on Saturday.,"13 Apr 2023
by Chase Brown
35 COMMENTS"
JELANI THURMAN,"Jelani Thurman has the size, versatility and upside to be the next great tight end at Ohio State.","13 Apr 2023
by Josh Poloha
18 COMMENTS"
ALL EYES ON MCCORD,"With Devin Brown ruled out due to injury, Kyle McCord will have the spring game quarterback spotlight all to himself with a chance to state his case as QB1.","13 Apr 2023
by Griffin Strom
72 COMMENTS"
"O VS. D WITH TACKLING, MODIFIED SCORING","Much like last year, Ohio State’s 2023 spring game will be an offense vs. defense scrimmage with a modified scoring system and live tackling for most of the game.","12 Apr 2023
by Dan Hope
5 COMMENTS"
O-LINE NOT WHERE IT NEEDS TO BE YET,Ryan Day isn’t ready to name starters at offensive tackle or center yet and says there’s “a lot of work to be done here in the next few months” for the offensive line.,"12 Apr 2023
by Dan Hope
50 COMMENTS"
ASSEMBLED & DELIVERED,April is now the only month when healthy Buckeye starters are on the sideline during big chunks of garbage time.,"12 Apr 2023
by Ramzy Nasrallah
43 COMMENTS"
A LOOK AT OSU’S NEWEST NIL COLLECTIVE,Todd Markiewicz and Tyvis Powell of The 1870 Society join us to discuss Ohio State’s newest NIL collective and we preview this weekend’s Ohio State spring game.,"12 Apr 2023
by Dan Hope and Griffin Strom
4 COMMENTS"
"DAY TALKS BROWN INJURY, SPRING GAME","Ryan Day says Devin Brown will miss the spring game due to ""a procedure"" and thinks Ohio State has ""great energy"" and competitiveness this offseason.","12 Apr 2023
by Chase Brown
17 COMMENTS"
BROWN TO MISS SPRING GAME,"Devin Brown will not play in Ohio State's spring game after having a minor procedure on a finger on his throwing hand, but is expected to be back in action by the summer.","12 Apr 2023
by Griffin Strom
70 COMMENTS"
IMPROVED CB PLAY COULD SHOW IN SPRING GAME,"Improvement at cornerback has been evident all throughout the spring, and Denzel Burke, Jordan Hancock and company have a chance to prove it to the masses on Saturday.","12 Apr 2023
by Griffin Strom
12 COMMENTS"
