game_id,school,conference,homeAway,points,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
401413334,Montana,Big Sky,home,24,22-28,,18,1-2,1,0,,,1,0,24,1,4,180,,,1,32:07,0,-1,3,,40,2,171,,,,5-14,2,5-50,351,2,6.4,4.3
401413334,South Dakota,MVFC,away,7,12-24,,12,0-1,0,2,0,0,0,0,21,2,1,119,,1,0,27:53,0,2,1,,36,1,90,,,,3-15,1,12-98,209,0,5.0,2.5
401413336,Montana,Big Sky,home,53,21-28,,21,1-3,0,0,0,0,0,0,28,2,9,233,,1,2,28:48,0,159,5,,38,3,163,,,,4-12,1,1-10,396,0,8.3,4.3
401413336,Portland State,Big Sky,away,16,14-27,,10,1-1,0,0,,,1,0,49,4,2,103,,,1,31:12,,,,,36,1,96,,,,3-15,,8-53,199,1,3.8,2.7
401413337,Montana,Big Sky,away,24,22-41,,26,1-4,0,2,0,90,0,0,86,3,6,186,,3,1,37:51,0,-2,2,,54,2,200,,,,10-20,0,5-71,386,0,4.5,3.7
401413337,Sacramento State,Big Sky,home,31,21-40,,24,2-3,1,0,,,3,0,30,2,7,299,,,2,22:09,0,21,2,,31,2,180,,,,5-12,1,9-80,479,4,7.5,5.8
401413338,Montana,Big Sky,away,21,10-17,,10,0-0,0,0,0,25,0,1,147,3,7,72,,1,0,28:25,0,2,2,,38,1,42,,,,4-14,,6-54,114,0,4.2,1.1
401413338,Weber State,Big Sky,home,24,14-23,,18,1-1,0,0,,,1,0,37,2,6,153,,,2,31:35,0,31,4,,51,1,192,,,,8-18,,9-67,345,1,6.7,3.8
401413339,Montana,Big Sky,away,21,18-29,,23,0-2,2,0,,,1,0,96,5,3,219,,,2,20:21,,,,,28,1,96,,,,4-8,2,6-45,315,3,7.6,3.4
401413339,Montana State,Big Sky,home,55,7-10,,31,2-2,0,4,0,5,0,,,,13,122,,1,1,39:39,,,,,65,5,439,,,,6-11,0,7-85,561,0,12.2,6.8
401413340,McNeese,Southland,away,17,12-23,,11,0-2,0,4,,,2,,,,5,145,,,1,30:00,,,,,25,1,158,,,,2-10,1,2-30,303,2,6.3,6.3
401413340,Montana State,Big Sky,home,40,11-21,,26,1-1,2,0,0,25,0,,,,10,182,,2,2,30:00,0,1,1,,59,3,359,,,,6-12,3,6-55,541,2,8.7,6.1
401413341,Montana State,Big Sky,home,63,19-29,,27,0-0,1,4,0,16,2,0,71,3,9,295,,1,4,27:21,0,78,2,,31,4,290,,,,3-5,2,3-40,585,3,10.2,9.4
401413341,Morehead State,Pioneer,away,13,18-37,,14,2-2,2,2,0,6,1,,,,7,133,,2,0,32:39,,,,,38,0,127,,,,6-20,2,6-38,260,3,3.6,3.3
401413342,Montana State,Big Sky,home,41,13-21,,19,1-2,0,0,0,0,0,0,137,4,11,227,,1,2,32:22,0,17,2,,45,3,325,,,,7-15,,2-10,552,0,10.8,7.2
401413342,UC Davis,Big Sky,away,24,21-36,,24,1-2,0,0,,,1,0,72,4,10,242,,,1,27:38,0,8,2,,40,1,234,,,,5-15,,4-25,476,1,6.7,5.9
401413343,Montana State,Big Sky,away,37,18-23,,22,0-1,0,0,0,4,1,,,,7,250,,1,4,29:55,0,23,3,,45,1,231,,,,6-12,,7-58,481,1,10.9,5.1
401413343,Northern Colorado,Big Sky,home,14,35-52,,21,2-6,0,0,0,0,1,0,15,1,2,286,,1,1,30:05,0,2,1,,25,1,108,,,,2-14,,5-50,394,1,5.5,4.3
401413344,Montana State,Big Sky,home,43,15-23,,25,2-3,0,1,,,1,0,171,7,5,140,,,1,37:45,,,,,53,4,347,,,,4-13,,11-75,487,1,6.1,6.5
401413344,Weber State,Big Sky,away,38,14-30,,19,2-4,1,0,0,23,0,0,140,3,6,151,,1,1,22:15,0,91,3,,39,2,187,,,,4-14,2,3-25,338,1,5.0,4.8
401413345,Montana State,Big Sky,away,41,14-30,,24,2-2,0,2,,,0,0,79,3,11,191,,,1,31:08,,,,,49,4,280,,,,5-15,0,7-55,471,0,6.4,5.7
401413345,Northern Arizona,Big Sky,home,38,35-48,,28,2-4,2,0,,,0,0,33,2,8,459,,,4,28:48,0,2,1,,33,1,93,,,,10-19,2,11-79,552,2,9.6,2.8
401414778,Tulane,American Athletic,home,42,13-22,0,20,1-4,1,0,0,21,0,0,23,3,6,173,0,3,2,26:45,0,41,2,0,39,4,196,2,55,5,3-8,1,6-50,369,1,7.9,5.0
401414778,UMass,FBS Independents,away,10,4-11,0,14,2-3,0,1,,,3,0,64,4,4,17,2,,0,33:15,,,,0,58,1,200,0,45,1,7-18,1,7-77,217,3,1.5,3.4
401414779,Toledo,Mid-American,home,55,12-26,0,27,2-2,0,2,,,0,0,3,2,13,177,2,,1,24:42,0,16,2,3,37,6,234,0,23,5,5-11,1,4-38,411,0,6.8,6.3
401414779,UMass,FBS Independents,away,10,7-17,0,13,3-4,1,0,,,0,0,116,6,4,48,3,,0,35:18,0,4,1,3,54,1,205,1,29,4,7-21,2,14-133,253,1,2.8,3.8
401414780,Stony Brook,CAA,away,3,16-34,0,16,1-2,0,0,0,0,2,0,25,1,3,206,1,1,0,27:11,0,9,1,0,31,0,127,1,30,7,2-14,,8-55,333,2,6.1,4.1
